country,year,iso_code,co2_per_capita,consumption_co2_per_capita,co2_per_gdp,consumption_co2_per_gdp,energy_per_capita,primary_energy_consumption,energy_per_gdp,gdp,population
Barbados,2019,BRB,4.949633121490479,,0.3936873972415924,,25585.25,7.194981575012207,2.035017490386963,3535586950.0,281216.0
Belarus,2019,BLR,6.5890727043151855,7.653774261474609,0.3422673940658569,0.3975729644298553,32726.744140625,308.7904052734375,1.6999807357788086,181643469714.0,9435415.0
Belgium,2019,BEL,8.685232162475586,17.795494079589844,0.2110364884138107,0.4324004650115967,64258.41796875,738.3692626953125,1.561371088027954,472897988852.0,11490623.0
Benin,2019,BEN,0.4142922461032867,0.5448691844940186,0.1872676610946655,0.2462908327579498,2371.676513671875,30.183757781982425,1.072041153907776,28155410176.0,12726760.0
Bolivia,2019,BOL,1.9371525049209597,2.0124306678771973,0.2890558838844299,0.3002886474132538,8193.26953125,95.62681579589844,1.2225743532180786,78217588630.0,11671386.0
Bosnia and Herzegovina,2019,BIH,6.220349311828613,,0.4784311056137085,,17670.796875,59.11821365356445,1.3591293096542358,43497123759.0,3345532.0
Botswana,2019,BWA,3.20981502532959,5.8812336921691895,0.2069752812385559,0.3792336881160736,9783.12109375,22.815040588378903,0.6308351755142212,36166405883.0,2332082.0
Brazil,2019,BRA,2.297957181930542,2.342602014541626,0.1562861055135727,0.159322440624237,17194.14453125,3567.01904296875,1.169389009475708,3050327159562.0,207455459.0
Bulgaria,2019,BGR,6.049055576324463,5.724804401397705,0.3257794678211212,0.3083165287971496,30327.923828125,211.5514068603516,1.6333483457565308,129520075495.0,6975466.0
Burkina Faso,2019,BFA,0.2680102884769439,0.242907777428627,0.1680932193994522,0.1523491889238357,953.4791259765624,19.986787796020508,0.5980120301246643,33422048798.0,20961956.0
Burundi,2019,BDI,0.0559077151119709,,0.0799180790781974,,260.2344055175781,3.189260959625244,0.3719957768917084,8573379471.0,12255339.0
Cambodia,2019,KHM,1.1301459074020386,2.157365322113037,0.2997978925704956,0.572292149066925,3629.568359375,59.82002258300781,0.9628287553787231,62129452776.0,16481305.0
Cameroon,2019,CMR,0.3765880167484283,0.3646391332149505,0.1250857561826706,0.1211168691515922,1426.04248046875,36.37277603149414,0.4736677706241607,76789634582.0,25506095.0
Canada,2019,CAN,15.324564933776855,14.534090995788574,0.338826835155487,0.3213494122028351,107455.625,4059.98876953125,2.3758487701416016,1708858221312.0,37782934.0
Cape Verde,2019,CPV,1.2258089780807495,,0.1504114270210266,,7017.119140625,3.6076133251190186,0.8610273003578186,4189894317.0,514116.0
Central African Republic,2019,CAF,0.0629845112562179,,0.0850247964262962,,270.2336730957031,1.3362265825271606,0.3647970557212829,3662931320.0,4944708.0
Chad,2019,TCD,0.1378336399793625,,0.0945862680673599,,421.2947082519531,7.029396057128906,0.2891071736812591,24314153239.0,16685223.0
